adjective,place
Abydene,Abydos
Acarnanian,Acarnania
Achaean,Achaea
Achaian,Achaea
Achaian,Achaia
Aegaean,Aegaea
Aeginetan,Aegina
Aegytis,Aegys
Aeolian,Aeolis
Aeolic,Aeolis
Aethaean,Aethaea
Aetolian,Aetolia
African,Africa
Alexandrian,Alexandria
Amphictyonic,Amphictyon
Amphilochian,Amphilochus
Anactorian,Anactorium
Andalusian,Andalusia
Antandrian,Antandros
Apeiraean,Apeiraea
Apulian,Apulia
Aquitanian,Aquitania
Arab,Arabia
Arabian,Arabia
Arachnaean,Arachnaea
Arcadian,Arcadia
Argive,Argos
Argolid,Argolis
Armenian,Armenia
Arretine,Arretium
Asculaean,Asculum
Asia Minor,Asia Minor
Asiatic,Asia
Aspendian,Aspendus
Assesian,Assesus
Assyrian,Assyria
Athenian,Athens
Athoan,Athos
Attic,Athenian
Attic,Attica
Babylonian,Babylon
Bactrian,Bactriana
Bavarian,Bavaria
Beotian,Boeotia
Boeotian,Boeotia
Boius,Boiohaemum
Bosphoran,Bosporus
Bosporan,Bosporus
Bottiaean,Bottiaea
British,Britain
Bruttian,Bruttium
Byblian,Byblus,
Byzantine,Byzantium
Cadmean,Thebes
Calabrian,Calabria
Calcedonian,Calcedon
Calenian,Calenian
Camiran,Camiran
Campanian,Campania
Canosan,Canosa
Cantabrian,Cantabria
Capuan,Capua
Cardian,Cardia
Carian,Caria
Carthaginian,Carthage
Carystian,Carystus
Caspian,Caspium
Catalan,Catalonia
Catalonian,Catalonia
Caunian,Caunus
Caunian,Caunus
Cean,Ceos
Cecropian,Athenian
Celtic,Gallic
Cephalonian,Cephalonia
Chalcidian,Chalcis
Chian,Chios
Chiot,Chios
Cilician,Cilicia
Clazomenean,Clazomenae
Clazomenian,Clazomenae
Cnidian,Cnidus
Cnidian,Cnidos
Coan,Cos
Colchian,Colchian
Colchian,Colchis
Colophonian,Colophon
Colossian,Colossae
Consentian,Consentia
Corcyrean,Corcyra
Corinthian,Corinth
Corsican,Corsica
Cretan,Crete
Crommyonian,Crommyon
Crotonian,Croton
Cycladian,Cyclades
Cydonian,Cydonia
Cyprian,Cyprus
Cypriot,Cyprus
Cypriote,Cyprus
Cyrenaic,Cyrenaica
Cyrenean,Cyrene
Cyrenian,Cyrene
Cytherean,Cythera
Cyzicean,Cyzicus
Dacian,Dacia
Dalmatian,Dalmatia
Daunian,Daunia
Delian,Delos
Dhitsa,Dhitsa
Dilisi,Dilisi
Dircaean,Thebes
Dodecanesian,Dodecanese
Dodonean,Dodona
East Greek,East Greek
Edonian,Edonia
Egestan,Egesta
Egestean,Egesta
Egestean,Segesta
Egyptian,Egypt
Elean,Elis
Eleusian,Eleusis
Eleusinian,Eleusis
Elian,Eleia
Ephesian,Ephesus
Ephesian,Ephesus
Ephyrians,Ephyra
Epidamnian,Epidamnos
Epidaurian,Epidaurus
Epirote,Epirus
Eretrian,Eretria
Ethiopian,Ethiopia
Etruscan,Etruria
Etruscan,Etruria
Euboean,Euboea
Galatian,Galatia
Gallaecus,Gallaecia
Gaulish,Gaul
Gelan,Gela
German,Germany
Germanic,Germania
Gnathian,Gnathia
Gortynian,Gortys
Greek,Greece
Heliconian,Helicon
Hellenic,Greek
Iberian,Iberia
Ichnean,Ichnae
Idaean,Ida
Illyrian,Illyria
Indian,India
Ionian,Ionia
Ionic,Ionia
Italian,Italy
Ithacan,Ithaca
Kalymnian,Kalymnos
Kasnit,Kasnit
Kaulonian,Kaulonia
Knossian,Knossos
Knossian,Knossos
Labdacean,Labdacus
Laconian,Laconia
Lakedaemonian,Lakedaemon 
Lakedaemonian,Lakedaemonia
Lamian,Lamia
Lampsacene,Lampsakos
Larissaean,Larissa
Larissan,Larissa
Latin,Latium
Lemnian,Lemnos
Leontine,Leontini
Leontinian,Leontium
Lesbian,Lesbos
Lesbian,Lesbos
Leucadian,Leucas
Liburnian,Liburnia
Libyan,Libya
Ligurian,Liguria
Locrian,Locris
Lucanian,Lucania
Lycian,Lycia,
Lycian,Lycia
Lycian-born,
Lydian,Lydia
Lydian,Lydia
Macedonian,Macedonia
Maeonian,Maeonia
Maeotian,Sea of Asov
Magnesia,Magnesia
Magnesian,Magnesia
Maltese,Malta
Mantinean,Mantineia
Marathonian,Marathon
Mauretanian,Mauretania
Median,Media
Megaran,Megara
Megarian,Megara
Melian,Melos
Melitian,Melite
Mendean,Mende
Mesopotamian,Mesopotamia
Messapian,Messapioi
Messenian,Messene
Messenian,Messenia
Metapontine,Metapontum
Methymnian,Methymna
Milesian,Miletus
Minoan,Minos
Minturnaean,Minturnae,
Molossian,Molossia
Moravian,Moravia
Mount Maenalus,
Mycenaean,Mycenae
Mylean,Mylae
Mysian,Mysia
Mytilenean,Mytilene
Mytilenean,Mytilene
Naucratite,Naucratis
Naupactian,Naupactus
Naxian,Naxos
Naxian,Naxos
Nemean,Nemea
Nisyrian,Nisyros
North African,Africa
North Italian,North Italy
Nubian,Nubia
Nysaean,Nysa
Nysaean,Nysa
Nysean,Nysa
Oean,Oea
Oiniadan,Oiniadai
Olympian,Olympia
Olympian,Olympus
Olynthian,Olynthus
Orcadian,Orkney Islands
Paeonian,Paionia
Paestan,Paestum
Pamphylian,Pamphylia
Paphian,Paphos
Parian,Paros
Parnassian,Parnassus
Parnathean,Parnes
Parthian,Parthia
Patmian,Patmos
Peloponnesian,Peloponnese
Pergamian,Pergamum
Persian,Persia
Phasian,Phasis
Philippian,Philippi
Phliasian,Phlius
Phocian,Phocis
Phoenician,Phoenicia
Phrygian,Phrygia
Phrygian,Phrygia,
Phthian,Phthia
Pisan,Pisa,
Pisidian,Pisidia
Plataean,Plataea
Pleuronian,Pleuron
Pontian,Pontus
Pontic,Pontus
Pramnian,Pramnia
Protocorinthian,Corinth
Pylian,Pylos
Pylosian,Pylos
Rhegian,Rhegium
Rhegian,Rhegine
Rhithymnian,Rithymna
Rhitsona,Rhitsona
Rhodian,Rhodes
Roman,Rome
Romanian,Romania
Romano-Egyptian,Egypt
Sabine,Sabinium
Salaminian,Salamis
Salaminian,Salamis
Salmydessian,Salmydessus
Samian,Samos
Samnite,Samnium
Samothracian,Samothrace
Sardian,Sardis
Sardinian,Sardinia
Sarmatian,Sarmatia
Scionian,Scione,
Scythian,Scythia
Seleucean,Seleucus
Selinuntean,Selinunte
Serrean,Serrhae
Sicilian,Sicily
Sicyonese,Sicyon
Sicyonian,Sicyon
Sidonian,Sidon
Sidonian,Sidon
Silesian,Silesia
Siphnian,Siphnos
Skopelitan,Skopelos
Smyrnean,Smyrna
South Gaulish,Gaul
South Italian,Italy
Spartan,Sparta
Sub-Mycenaean,Mycene
Suebius,Suebia
Sybaritic,Sybaris
Symian,Symi
Syracusan,Syracuse
Syrian,Syria
Tanagra,Tanagra
Tarentine,Taras
Tarentumian,Taras
Tegean,Tegea
Tenedian,Tenedos
Thasian,Thasos
Thasian,Thasos
Theban,Thebes
Thespian,Thespis
Thessalian,Thessaly
Thracian,Thrace
Thriasian,Thria
Thurian,Thurii
Thuriat,Thuria
Trachinian,Trachis
Trichonian,Trichonos
Troezenian,Troezen
Trojan,Troy
Tunisian,Tunisia
Tyrrhenian,Etruria
Umbrian,Umbria
Xanthian,Xanthus
Xanthian,Xanthi
Zacynthian,Zacynthos
Zakyntian,Zakynthos

